year,jornada,date,stadium,teamA,teamB,scoreTeamA,scoreTeamB,winner,winnerAsNumeric
1929,1,10 Feb 29,Municipal de Gobela,Arenas,Atlético,2,3,Atlético,2
1929,1,10 Feb 29,RCDE Stadium,Espanyol,Real Unión,3,2,Espanyol,1
1929,1,10 Feb 29,Anoeta,Sociedad,Athletic,1,1,Draw,0
1929,1,10 Feb 29,Santiago Bernabéu,Real Madrid,CE Europa,5,0,Real Madrid,1
1929,1,12 Feb 29,Campos de Sport de El Sardinero,Racing,Barcelona,0,2,Barcelona,2
1929,2,17 Feb 29,San Mamés,Athletic,Espanyol,9,0,Athletic,1
1929,2,17 Feb 29,Wanda Metropolitano,Atlético,Sociedad,0,3,Sociedad,2
1929,2,17 Feb 29,Camp Nou,Barcelona,Real Madrid,1,2,Real Madrid,2
1929,2,17 Feb 29,Municipal Nou Sardenya,CE Europa,Arenas,5,2,CE Europa,1
1929,2,17 Feb 29,Stadium Gal,Real Unión,Racing,3,1,Real Unión,1
1929,3,24 Feb 29,Municipal de Gobela,Arenas,Real Unión,1,1,Draw,0
1929,3,24 Feb 29,RCDE Stadium,Espanyol,CE Europa,3,1,Espanyol,1
1929,3,24 Feb 29,Campos de Sport de El Sardinero,Racing,Athletic,0,4,Athletic,2
1929,3,24 Feb 29,Anoeta,Sociedad,Barcelona,3,0,Sociedad,1
1929,3,24 Feb 29,Santiago Bernabéu,Real Madrid,Atlético,2,1,Real Madrid,1
1929,4,03 Mar 29,San Mamés,Athletic,CE Europa,2,0,Athletic,1
1929,4,03 Mar 29,Camp Nou,Barcelona,Arenas,2,2,Draw,0
1929,4,03 Mar 29,RCDE Stadium,Espanyol,Racing,3,0,Espanyol,1
1929,4,03 Mar 29,Stadium Gal,Real Unión,Atlético,1,2,Atlético,2
1929,4,03 Mar 29,Santiago Bernabéu,Real Madrid,Sociedad,2,1,Real Madrid,1
1929,5,10 Mar 29,Municipal de Gobela,Arenas,Athletic,1,0,Arenas,1
1929,5,10 Mar 29,Wanda Metropolitano,Atlético,Barcelona,4,1,Atlético,1
1929,5,10 Mar 29,Municipal Nou Sardenya,CE Europa,Real Unión,3,3,Draw,0
1929,5,10 Mar 29,Campos de Sport de El Sardinero,Racing,Real Madrid,1,3,Real Madrid,2
1929,5,10 Mar 29,Anoeta,Sociedad,Espanyol,1,1,Draw,0
1929,6,24 Mar 29,Municipal de Gobela,Arenas,Sociedad,3,0,Arenas,1
1929,6,24 Mar 29,Wanda Metropolitano,Atlético,Racing,4,0,Atlético,1
1929,6,24 Mar 29,Camp Nou,Barcelona,CE Europa,5,2,Barcelona,1
1929,6,24 Mar 29,RCDE Stadium,Espanyol,Real Madrid,4,0,Espanyol,1
1929,6,24 Mar 29,Stadium Gal,Real Unión,Athletic,6,3,Real Unión,1
1929,7,31 Mar 29,San Mamés,Athletic,Barcelona,5,1,Athletic,1
1929,7,31 Mar 29,RCDE Stadium,Espanyol,Arenas,1,2,Arenas,2
1929,7,31 Mar 29,Municipal Nou Sardenya,CE Europa,Atlético,4,1,CE Europa,1
1929,7,31 Mar 29,Anoeta,Sociedad,Racing,8,1,Sociedad,1
1929,7,31 Mar 29,Santiago Bernabéu,Real Madrid,Real Unión,2,0,Real Madrid,1
1929,8,07 Abr 29,Municipal de Gobela,Arenas,Real Madrid,3,2,Arenas,1
1929,8,07 Abr 29,Wanda Metropolitano,Atlético,Athletic,2,3,Athletic,2
1929,8,07 Abr 29,Camp Nou,Barcelona,Espanyol,1,0,Barcelona,1
1929,8,07 Abr 29,Campos de Sport de El Sardinero,Racing,CE Europa,3,2,Racing,1
1929,8,07 Abr 29,Stadium Gal,Real Unión,Sociedad,2,3,Sociedad,2
1929,9,21 Abr 29,Municipal de Gobela,Arenas,Racing,2,1,Arenas,1
1929,9,21 Abr 29,RCDE Stadium,Espanyol,Atlético,3,2,Espanyol,1
1929,9,21 Abr 29,Municipal Nou Sardenya,CE Europa,Sociedad,4,3,CE Europa,1
1929,9,21 Abr 29,Stadium Gal,Real Unión,Barcelona,1,2,Barcelona,2
1929,9,21 Abr 29,Santiago Bernabéu,Real Madrid,Athletic,5,1,Real Madrid,1
1929,10,28 Abr 29,San Mamés,Athletic,Sociedad,4,2,Athletic,1
1929,10,28 Abr 29,Wanda Metropolitano,Atlético,Arenas,1,2,Arenas,2
1929,10,28 Abr 29,Camp Nou,Barcelona,Racing,5,1,Barcelona,1
1929,10,28 Abr 29,Municipal Nou Sardenya,CE Europa,Real Madrid,5,2,CE Europa,1
1929,10,28 Abr 29,Stadium Gal,Real Unión,Espanyol,4,3,Real Unión,1
1929,11,05 May 29,Municipal de Gobela,Arenas,CE Europa,2,2,Draw,0
1929,11,05 May 29,RCDE Stadium,Espanyol,Athletic,4,1,Espanyol,1
1929,11,05 May 29,Campos de Sport de El Sardinero,Racing,Real Unión,1,3,Real Unión,2
1929,11,09 May 29,Anoeta,Sociedad,Atlético,3,3,Draw,0
1929,11,09 May 29,Santiago Bernabéu,Real Madrid,Barcelona,0,1,Barcelona,2
1929,12,09 May 29,Municipal Nou Sardenya,CE Europa,Espanyol,0,3,Espanyol,2
1929,12,12 May 29,San Mamés,Athletic,Racing,0,0,Draw,0
1929,12,19 May 29,Wanda Metropolitano,Atlético,Real Unión,3,1,Atlético,1
1929,12,19 May 29,Anoeta,Sociedad,Real Madrid,5,4,Sociedad,1
1929,12,30 Jun 29,Municipal de Gobela,Arenas,Barcelona,0,2,Barcelona,2
1929,13,26 May 29,San Mamés,Athletic,Arenas,2,3,Arenas,2
1929,13,26 May 29,Camp Nou,Barcelona,Atlético,4,0,Barcelona,1
1929,13,26 May 29,RCDE Stadium,Espanyol,Sociedad,1,1,Draw,0
1929,13,26 May 29,Stadium Gal,Real Unión,CE Europa,2,3,CE Europa,2
1929,13,26 May 29,Santiago Bernabéu,Real Madrid,Racing,2,2,Draw,0
1929,14,12 May 29,Stadium Gal,Real Unión,Arenas,7,1,Real Unión,1
1929,14,30 May 29,Wanda Metropolitano,Atlético,Real Madrid,0,3,Real Madrid,2
1929,14,30 May 29,Camp Nou,Barcelona,Sociedad,1,0,Barcelona,1
1929,14,30 May 29,Municipal Nou Sardenya,CE Europa,Athletic,1,1,Draw,0
1929,14,30 May 29,Campos de Sport de El Sardinero,Racing,Espanyol,1,1,Draw,0
1929,15,02 Jun 29,San Mamés,Athletic,Real Unión,2,1,Athletic,1
1929,15,02 Jun 29,Municipal Nou Sardenya,CE Europa,Barcelona,1,1,Draw,0
1929,15,02 Jun 29,Campos de Sport de El Sardinero,Racing,Atlético,1,2,Atlético,2
1929,15,02 Jun 29,Anoeta,Sociedad,Arenas,3,2,Sociedad,1
1929,15,02 Jun 29,Santiago Bernabéu,Real Madrid,Espanyol,2,0,Real Madrid,1
1929,16,09 Jun 29,Municipal de Gobela,Arenas,Espanyol,3,0,Arenas,1
1929,16,09 Jun 29,Wanda Metropolitano,Atlético,CE Europa,5,4,Atlético,1
