year,jornada,date,stadium,teamA,logo_teamA,teamB,logo_teamB,scoreTeamA,scoreTeamB,winner,winnerAsNumeric
1929,1,10 Feb 29,Municipal de Gobela,Arenas,Arenas.jpg,Atlético,Atlético.jpg,2,3,Atlético,2
1929,1,10 Feb 29,RCDE Stadium,Espanyol,Espanyol.jpg,Real Unión,Real Unión.jpg,3,2,Espanyol,1
1929,1,10 Feb 29,Anoeta,Sociedad,Sociedad.jpg,Athletic,Athletic.jpg,1,1,Draw,0
1929,1,10 Feb 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,CE Europa,CE Europa.jpg,5,0,Real Madrid,1
1929,1,12 Feb 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Barcelona,Barcelona.jpg,0,2,Barcelona,2
1929,2,17 Feb 29,San Mamés,Athletic,Athletic.jpg,Espanyol,Espanyol.jpg,9,0,Athletic,1
1929,2,17 Feb 29,Wanda Metropolitano,Atlético,Atlético.jpg,Sociedad,Sociedad.jpg,0,3,Sociedad,2
1929,2,17 Feb 29,Camp Nou,Barcelona,Barcelona.jpg,Real Madrid,Real Madrid.jpg,1,2,Real Madrid,2
1929,2,17 Feb 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Arenas,Arenas.jpg,5,2,CE Europa,1
1929,2,17 Feb 29,Stadium Gal,Real Unión,Real Unión.jpg,Racing,Racing.jpg,3,1,Real Unión,1
1929,3,24 Feb 29,Municipal de Gobela,Arenas,Arenas.jpg,Real Unión,Real Unión.jpg,1,1,Draw,0
1929,3,24 Feb 29,RCDE Stadium,Espanyol,Espanyol.jpg,CE Europa,CE Europa.jpg,3,1,Espanyol,1
1929,3,24 Feb 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Athletic,Athletic.jpg,0,4,Athletic,2
1929,3,24 Feb 29,Anoeta,Sociedad,Sociedad.jpg,Barcelona,Barcelona.jpg,3,0,Sociedad,1
1929,3,24 Feb 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Atlético,Atlético.jpg,2,1,Real Madrid,1
1929,4,03 Mar 29,San Mamés,Athletic,Athletic.jpg,CE Europa,CE Europa.jpg,2,0,Athletic,1
1929,4,03 Mar 29,Camp Nou,Barcelona,Barcelona.jpg,Arenas,Arenas.jpg,2,2,Draw,0
1929,4,03 Mar 29,RCDE Stadium,Espanyol,Espanyol.jpg,Racing,Racing.jpg,3,0,Espanyol,1
1929,4,03 Mar 29,Stadium Gal,Real Unión,Real Unión.jpg,Atlético,Atlético.jpg,1,2,Atlético,2
1929,4,03 Mar 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Sociedad,Sociedad.jpg,2,1,Real Madrid,1
1929,5,10 Mar 29,Municipal de Gobela,Arenas,Arenas.jpg,Athletic,Athletic.jpg,1,0,Arenas,1
1929,5,10 Mar 29,Wanda Metropolitano,Atlético,Atlético.jpg,Barcelona,Barcelona.jpg,4,1,Atlético,1
1929,5,10 Mar 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Real Unión,Real Unión.jpg,3,3,Draw,0
1929,5,10 Mar 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Real Madrid,Real Madrid.jpg,1,3,Real Madrid,2
1929,5,10 Mar 29,Anoeta,Sociedad,Sociedad.jpg,Espanyol,Espanyol.jpg,1,1,Draw,0
1929,6,24 Mar 29,Municipal de Gobela,Arenas,Arenas.jpg,Sociedad,Sociedad.jpg,3,0,Arenas,1
1929,6,24 Mar 29,Wanda Metropolitano,Atlético,Atlético.jpg,Racing,Racing.jpg,4,0,Atlético,1
1929,6,24 Mar 29,Camp Nou,Barcelona,Barcelona.jpg,CE Europa,CE Europa.jpg,5,2,Barcelona,1
1929,6,24 Mar 29,RCDE Stadium,Espanyol,Espanyol.jpg,Real Madrid,Real Madrid.jpg,4,0,Espanyol,1
1929,6,24 Mar 29,Stadium Gal,Real Unión,Real Unión.jpg,Athletic,Athletic.jpg,6,3,Real Unión,1
1929,7,31 Mar 29,San Mamés,Athletic,Athletic.jpg,Barcelona,Barcelona.jpg,5,1,Athletic,1
1929,7,31 Mar 29,RCDE Stadium,Espanyol,Espanyol.jpg,Arenas,Arenas.jpg,1,2,Arenas,2
1929,7,31 Mar 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Atlético,Atlético.jpg,4,1,CE Europa,1
1929,7,31 Mar 29,Anoeta,Sociedad,Sociedad.jpg,Racing,Racing.jpg,8,1,Sociedad,1
1929,7,31 Mar 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Real Unión,Real Unión.jpg,2,0,Real Madrid,1
1929,8,07 Abr 29,Municipal de Gobela,Arenas,Arenas.jpg,Real Madrid,Real Madrid.jpg,3,2,Arenas,1
1929,8,07 Abr 29,Wanda Metropolitano,Atlético,Atlético.jpg,Athletic,Athletic.jpg,2,3,Athletic,2
1929,8,07 Abr 29,Camp Nou,Barcelona,Barcelona.jpg,Espanyol,Espanyol.jpg,1,0,Barcelona,1
1929,8,07 Abr 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,CE Europa,CE Europa.jpg,3,2,Racing,1
1929,8,07 Abr 29,Stadium Gal,Real Unión,Real Unión.jpg,Sociedad,Sociedad.jpg,2,3,Sociedad,2
1929,9,21 Abr 29,Municipal de Gobela,Arenas,Arenas.jpg,Racing,Racing.jpg,2,1,Arenas,1
1929,9,21 Abr 29,RCDE Stadium,Espanyol,Espanyol.jpg,Atlético,Atlético.jpg,3,2,Espanyol,1
1929,9,21 Abr 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Sociedad,Sociedad.jpg,4,3,CE Europa,1
1929,9,21 Abr 29,Stadium Gal,Real Unión,Real Unión.jpg,Barcelona,Barcelona.jpg,1,2,Barcelona,2
1929,9,21 Abr 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Athletic,Athletic.jpg,5,1,Real Madrid,1
1929,10,28 Abr 29,San Mamés,Athletic,Athletic.jpg,Sociedad,Sociedad.jpg,4,2,Athletic,1
1929,10,28 Abr 29,Wanda Metropolitano,Atlético,Atlético.jpg,Arenas,Arenas.jpg,1,2,Arenas,2
1929,10,28 Abr 29,Camp Nou,Barcelona,Barcelona.jpg,Racing,Racing.jpg,5,1,Barcelona,1
1929,10,28 Abr 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Real Madrid,Real Madrid.jpg,5,2,CE Europa,1
1929,10,28 Abr 29,Stadium Gal,Real Unión,Real Unión.jpg,Espanyol,Espanyol.jpg,4,3,Real Unión,1
1929,11,05 May 29,Municipal de Gobela,Arenas,Arenas.jpg,CE Europa,CE Europa.jpg,2,2,Draw,0
1929,11,05 May 29,RCDE Stadium,Espanyol,Espanyol.jpg,Athletic,Athletic.jpg,4,1,Espanyol,1
1929,11,05 May 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Real Unión,Real Unión.jpg,1,3,Real Unión,2
1929,11,09 May 29,Anoeta,Sociedad,Sociedad.jpg,Atlético,Atlético.jpg,3,3,Draw,0
1929,11,09 May 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Barcelona,Barcelona.jpg,0,1,Barcelona,2
1929,12,09 May 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Espanyol,Espanyol.jpg,0,3,Espanyol,2
1929,12,12 May 29,San Mamés,Athletic,Athletic.jpg,Racing,Racing.jpg,0,0,Draw,0
1929,12,19 May 29,Wanda Metropolitano,Atlético,Atlético.jpg,Real Unión,Real Unión.jpg,3,1,Atlético,1
1929,12,19 May 29,Anoeta,Sociedad,Sociedad.jpg,Real Madrid,Real Madrid.jpg,5,4,Sociedad,1
1929,12,30 Jun 29,Municipal de Gobela,Arenas,Arenas.jpg,Barcelona,Barcelona.jpg,0,2,Barcelona,2
1929,13,26 May 29,San Mamés,Athletic,Athletic.jpg,Arenas,Arenas.jpg,2,3,Arenas,2
1929,13,26 May 29,Camp Nou,Barcelona,Barcelona.jpg,Atlético,Atlético.jpg,4,0,Barcelona,1
1929,13,26 May 29,RCDE Stadium,Espanyol,Espanyol.jpg,Sociedad,Sociedad.jpg,1,1,Draw,0
1929,13,26 May 29,Stadium Gal,Real Unión,Real Unión.jpg,CE Europa,CE Europa.jpg,2,3,CE Europa,2
1929,13,26 May 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Racing,Racing.jpg,2,2,Draw,0
1929,14,12 May 29,Stadium Gal,Real Unión,Real Unión.jpg,Arenas,Arenas.jpg,7,1,Real Unión,1
1929,14,30 May 29,Wanda Metropolitano,Atlético,Atlético.jpg,Real Madrid,Real Madrid.jpg,0,3,Real Madrid,2
1929,14,30 May 29,Camp Nou,Barcelona,Barcelona.jpg,Sociedad,Sociedad.jpg,1,0,Barcelona,1
1929,14,30 May 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Athletic,Athletic.jpg,1,1,Draw,0
1929,14,30 May 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Espanyol,Espanyol.jpg,1,1,Draw,0
1929,15,02 Jun 29,San Mamés,Athletic,Athletic.jpg,Real Unión,Real Unión.jpg,2,1,Athletic,1
1929,15,02 Jun 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Barcelona,Barcelona.jpg,1,1,Draw,0
1929,15,02 Jun 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Atlético,Atlético.jpg,1,2,Atlético,2
1929,15,02 Jun 29,Anoeta,Sociedad,Sociedad.jpg,Arenas,Arenas.jpg,3,2,Sociedad,1
